sp_id1,gen
700,Gibbsiella
701,Candidatus Blochmannia
707,Candidatus Hamiltonella
708,unclassified Enterobacteriaceae
711,Candidatus Riesia
713,Candidatus Moranella
715,Shimwellia
716,Raoultella
720,Cedecea
724,Pluralibacter
727,Kosakonia
732,Kluyvera
733,Candidatus Ishikawaella
734,Leclercia
737,Lelliottia
741,Limnobaculum
742,Buttiauxella
743,Candidatus Tachikawaea
744,Candidatus Doolittlea
745,Candidatus Hoaglandella
746,Candidatus Gullanella
747,Candidatus Mikella
748,Candidatus Purcelliella
749,Metakosakonia
750,Atlantibacter
755,Yersinia
799,Serratia
819,Chania
820,Rahnella
824,Pectobacterium
835,Sodalis
839,Dickeya
848,Brenneria
849,Lonsdalea
850,Erwinia
859,Buchnera
877,Wigglesworthia
879,Pantoea
894,Mixta
896,Tatumella
898,Photorhabdus
902,Proteus
906,Xenorhabdus
913,Providencia
920,Morganella
922,Arsenophonus
923,Edwardsiella
931,Hafnia
933,Obesumbacterium
934,Pragia
935,Leminorella
936,Phytobacter
937,Plesiomonas
938,Haemophilus
956,Glaesserella
961,Histophilus
963,Pasteurella
969,Basfia
970,Mannheimia
984,Actinobacillus
992,Aggregatibacter
1000,Gallibacterium
1001,Bibersteinia
1005,Avibacterium
1006,Rodentibacter
1007,Xylella
1016,Xanthomonas
1050,Stenotrophomonas
1060,Pseudoxanthomonas
1063,Lysobacter
1071,Luteimonas
1073,Frateuria
1074,Rhodanobacter
1075,Dyella
1079,Dokdonella
1080,Luteibacter
1081,Ahniella
1082,Vibrio
1131,Aliivibrio
1135,Photobacterium
1138,Grimontia
1139,Paraphotobacterium
1140,Pseudomonas
1249,Azotobacter
1253,Oblitimonas
1254,Psychrobacter
1265,Acinetobacter
1306,Moraxella
1313,unclassified Moraxellaceae
1314,Shewanella
1345,Idiomarina
1350,Colwellia
1356,Pseudoalteromonas
1375,Marinobacter
1386,Alteromonas
1407,Glaciecola
1409,Paraglaciecola
1410,Lacimicrobium
1411,Catenovulum
1412,Saliniradius
1413,Salinimonas
1414,Psychromonas
1416,Ferrimonas
1417,Moritella
1419,Cellvibrio
1422,Saccharophagus
1423,Teredinibacter
1424,Simiduia
1425,Spongiibacter
1426,Zhongshania
1427,Oceanicoccus
1428,Microbulbifer
1432,Halioglobus
1433,Coxiella
1440,Rickettsiella
1441,Legionella
1459,Tatlockia
1460,Methylococcus
1461,Methylomonas
1465,Methylomicrobium
1466,Methylovulum
